Time,Symbol,Open,High,Low,Last,Change,%Chg,Volume
8/24/20,PYPL,200,207,196.24,204.48,7.69,3.91%,5443480
8/17/20,PYPL,193.92,199.0999,191.51,196.79,5.33,2.78%,6274460
8/10/20,PYPL,198.7,199.85,186.52,191.46,-7.17,-3.61%,8163480
8/3/20,PYPL,198.25,204.23,195.22,198.63,2.56,1.31%,6730600
7/27/20,PYPL,173.92,198.6599,172.39,196.07,23.51,13.62%,11219940
7/20/20,PYPL,174.65,180.75,169.08,172.56,-1.36,-0.78%,5930260
7/13/20,PYPL,180.42,180.66,164.33,173.92,-4.48,-2.51%,8300640
7/6/20,PYPL,180.29,183.99,174.46,178.4,1.19,0.67%,7006840
6/29/20,PYPL,171.48,179.8,165.56,177.21,6.34,3.71%,6267175
6/22/20,PYPL,165.58,175.4,164.29,170.87,6.51,3.96%,7845720
6/15/20,PYPL,152.63,171.12,152.22,164.36,9.1,5.86%,7431120
6/8/20,PYPL,154.28,160.89,151.89,155.26,-0.74,-0.47%,6944300
6/1/20,PYPL,154.9,159.4799,150,156,0.99,0.64%,6947180
5/25/20,PYPL,154.12,155.33,140.02,155.01,4.15,2.75%,10007200
5/18/20,PYPL,148.13,151.08,145.22,150.86,5.35,3.68%,7101480
5/11/20,PYPL,142.96,145.89,139.61,145.51,0.55,0.38%,9761460
5/4/20,PYPL,121.26,147.2,120.31,144.96,24.35,20.19%,15920920
4/27/20,PYPL,121.25,124.03,115.9029,120.61,0.43,0.36%,7789080
4/20/20,PYPL,110.9,120.47,107.41,120.18,8.33,7.45%,10718120
4/13/20,PYPL,104.85,112.12,102.34,111.85,6.01,5.68%,8920100
4/6/20,PYPL,97.8,108.7,96.26,105.84,13.45,14.56%,10642775
3/30/20,PYPL,95.5,99.4314,89.88,92.39,-1.09,-1.17%,8647060
3/23/20,PYPL,86.29,100.93,82.07,93.48,6.8,7.84%,11897020
3/16/20,PYPL,94,103.155,86.15,86.68,-23.47,-21.31%,15460660
3/9/20,PYPL,102.72,110.6,94.5,110.15,-0.74,-0.67%,14850600
3/2/20,PYPL,107.46,115.39,106.53,110.89,2.9,2.69%,9943960
2/24/20,PYPL,114.29,116.79,103.72,107.99,-11.5,-9.62%,13352020
2/17/20,PYPL,122.58,124.45,118.53,119.49,-3.5,-2.85%,5768350
2/10/20,PYPL,118.56,123,117.8,122.99,4.11,3.46%,5572840
2/3/20,PYPL,114.3,122.19,114.05,118.88,4.99,4.38%,6282980
1/27/20,PYPL,113.63,117.53,112.31,113.89,-3.09,-2.64%,9162220
1/20/20,PYPL,115.31,119.6,115.11,116.98,0.94,0.81%,7427300
1/13/20,PYPL,113.98,116.7,113.86,116.04,3.11,2.75%,7462840
1/6/20,PYPL,107.57,113.71,107.44,112.93,4.17,3.83%,6978820
12/30/19,PYPL,109.52,111.21,107.2,108.76,-0.64,-0.59%,5592350
12/23/19,PYPL,109.05,110.18,108.38,109.4,0.65,0.60%,3444875
12/16/19,PYPL,108.4,109.828,107.46,108.75,1.1,1.02%,7906840
12/9/19,PYPL,104.6,107.905,103.26,107.65,3.31,3.17%,6032260
12/2/19,PYPL,107.96,108.49,104.11,104.34,-3.67,-3.40%,7350660
11/25/19,PYPL,102.38,108.39,102.06,108.01,6.24,6.13%,8370825
11/18/19,PYPL,103.85,106.17,100.72,101.77,-2.43,-2.33%,6545500
11/11/19,PYPL,101.04,104.48,100.66,104.2,2.78,2.74%,5611000
11/4/19,PYPL,105.72,105.76,99.6,101.42,-3.56,-3.39%,7385280
10/28/19,PYPL,107.99,108.46,103.26,104.98,-2.21,-2.06%,5864020
10/21/19,PYPL,102.36,107.49,94.77,107.19,5.97,5.90%,14330140
10/14/19,PYPL,101.59,104.34,100.75,101.22,-0.36,-0.35%,4818200
10/7/19,PYPL,102.11,103.96,99.25,101.58,-1.21,-1.18%,5123180
9/30/19,PYPL,103.09,104.6409,98.61,102.79,0.59,0.58%,6429680
9/23/19,PYPL,104.73,106.1,101.1,102.2,-2.44,-2.33%,5466960
9/16/19,PYPL,106.13,108.01,103.73,104.64,-2.36,-2.21%,6394440
9/9/19,PYPL,110.62,110.77,101.31,107,-3.05,-2.77%,10273700
9/2/19,PYPL,107.92,111.67,106.46,110.05,1,0.92%,4438525
8/26/19,PYPL,107.11,110.97,105.35,109.05,3.01,2.84%,3950620
8/19/19,PYPL,108,110.29,105.51,106.04,-0.12,-0.11%,5363760
8/12/19,PYPL,104.01,106.7,102.21,106.16,1.34,1.28%,8076880
8/5/19,PYPL,103.76,108.14,102.41,104.82,-2.27,-2.12%,8539980
7/29/19,PYPL,113.5,114.28,105.83,107.09,-8.4,-7.27%,10455060
7/22/19,PYPL,118.99,121.33,113.23,115.49,-3.14,-2.65%,9415240
7/15/19,PYPL,120.77,121.48,118.6,118.63,-1.49,-1.24%,4342460
7/8/19,PYPL,116.34,121,115.1401,120.12,2.96,2.53%,5028380
7/1/19,PYPL,116.72,117.72,114.35,117.16,2.7,2.36%,4238875
6/24/19,PYPL,116.51,116.96,113.08,114.46,-1.75,-1.51%,5044280
6/17/19,PYPL,116.58,119.95,115.22,116.21,0.04,0.03%,6533940
6/10/19,PYPL,115.1,117.45,113.295,116.17,2.15,1.89%,4753660
6/3/19,PYPL,111.09,115.14,103.96,114.02,4.27,3.89%,7084400
5/27/19,PYPL,110.57,113.14,108.74,109.75,-0.1,-0.09%,5879850
5/20/19,PYPL,111.97,113.96,109.06,109.85,-2.95,-2.62%,4548220
5/13/19,PYPL,107.6,114.66,106.52,112.8,2.39,2.16%,5215360
5/6/19,PYPL,109.44,111.12,107.2476,110.41,-1.55,-1.38%,4685480
4/29/19,PYPL,110.7,113.69,108.91,111.96,1.4,1.27%,5771320
4/22/19,PYPL,106.79,110.92,106.02,110.56,3.2,2.98%,8633640
4/15/19,PYPL,108.58,109,105.08,107.36,-1.12,-1.03%,5955325
4/8/19,PYPL,105.66,108.54,104.67,108.48,2.75,2.60%,7543960
4/1/19,PYPL,104.99,105.97,102.65,105.73,1.89,1.82%,6469520
3/25/19,PYPL,100.94,104.7,100.51,103.84,2.57,2.54%,5031540
3/18/19,PYPL,101.21,104.56,99.37,101.27,0.54,0.54%,6858720
3/11/19,PYPL,96.01,101.2599,95.9539,100.73,5.04,5.27%,7348840
3/4/19,PYPL,98.03,98.5,94.51,95.69,-3.11,-3.15%,5630440
2/25/19,PYPL,96.07,99.45,95.53,98.8,2.82,2.94%,6105720
2/18/19,PYPL,94.45,96,93.98,95.98,1.07,1.13%,6888625
2/11/19,PYPL,92.25,96.04,92.15,94.91,3.04,3.31%,7038020
2/4/19,PYPL,89.88,92.35,89.71,91.87,1.86,2.07%,6708180
1/28/19,PYPL,93.3,93.42,86.62,90.01,-4.27,-4.53%,11925640
1/21/19,PYPL,90.33,94.58,89.09,94.28,3.16,3.47%,8724975
1/14/19,PYPL,89.96,92.35,89.55,91.12,0.47,0.52%,9430080
1/7/19,PYPL,86.42,91.14,86.02,90.65,4.38,5.08%,8771240
12/31/18,PYPL,84.24,86.91,81.91,86.27,3.01,3.62%,9069800
12/24/18,PYPL,77.48,85.23,76.7,83.26,5.12,6.55%,8123625
12/17/18,PYPL,85.69,87.8,77.69,78.14,-7.78,-9.05%,11887420
12/10/18,PYPL,83.25,88.71,82.76,85.92,3.15,3.81%,8712020
12/3/18,PYPL,87.29,88.84,81.29,82.77,-3.04,-3.54%,9422625
11/26/18,PYPL,78.97,86,78.86,85.81,7.86,10.08%,8351920
11/19/18,PYPL,84.77,85.19,75.47,77.95,-7.11,-8.36%,9311750
11/12/18,PYPL,86.17,87.09,83.07,85.06,-1.7,-1.96%,7053960
11/5/18,PYPL,83.33,89.06,82.25,86.76,3.25,3.89%,6920380
10/29/18,PYPL,84.74,86.1,78.99,83.51,0.14,0.17%,10035660
10/22/18,PYPL,84.86,87.8,82.18,83.37,-1.41,-1.66%,12799980
10/15/18,PYPL,78.88,86.17,77.22,84.78,5.75,7.28%,16504780
10/8/18,PYPL,82.62,82.89,74.66,79.03,-4.15,-4.99%,15653380
10/1/18,PYPL,88.13,88.8,82.32,83.18,-4.66,-5.31%,8437520
9/24/18,PYPL,89.95,90.93,87.6,87.84,-2.78,-3.07%,7022000
9/17/18,PYPL,90.66,92,88.24,90.62,-0.16,-0.18%,10510140
9/10/18,PYPL,89.43,93.7,88.56,90.78,1.96,2.21%,7530960
9/3/18,PYPL,91.94,93.44,87.39,88.82,-3.51,-3.80%,7297200
8/27/18,PYPL,90.68,93.01,89.68,92.33,2.23,2.48%,6012040
8/20/18,PYPL,85.74,90.13,84.9,90.1,4.65,5.44%,5094420
8/13/18,PYPL,87.42,88.5,84.22,85.45,-1.56,-1.79%,6620480
8/6/18,PYPL,85.19,88.09,84.9,87.01,1.82,2.14%,5169320
7/30/18,PYPL,85.5,86.2,81.3,85.19,-0.27,-0.32%,10533520
7/23/18,PYPL,87.14,92.35,84.75,85.46,-2.01,-2.30%,13317640
7/16/18,PYPL,88.26,88.93,86.59,87.47,-0.52,-0.59%,5500440
7/9/18,PYPL,86.6,89.19,85.07,87.99,2.05,2.39%,5316500
7/2/18,PYPL,82.75,86,82.06,85.94,2.67,3.21%,4739150
6/25/18,PYPL,84.08,84.47,80.16,83.27,-1.85,-2.17%,8137660
6/18/18,PYPL,84.84,87.55,83.43,85.12,-0.19,-0.22%,7320760
6/11/18,PYPL,84.45,86.295,83.79,85.31,0.97,1.15%,7390280
6/4/18,PYPL,83.23,85.61,82.31,84.34,1.09,1.31%,7918720
5/28/18,PYPL,80.71,83.46,80.2,83.25,2.29,2.83%,6945625
5/21/18,PYPL,81.61,83.06,79.405,80.96,0.17,0.21%,7859600
5/14/18,PYPL,79.14,81.94,76.93,80.79,1.59,2.01%,8060200
5/7/18,PYPL,74.22,79.39,74.1,79.2,5.21,7.04%,8298760
4/30/18,PYPL,74,75.71,70.22,73.99,-0.14,-0.19%,11519320
4/23/18,PYPL,78.86,79.45,73.635,74.13,-4.6,-5.84%,9516960
4/16/18,PYPL,77.88,80.89,77.19,78.73,1.46,1.89%,6313680
4/9/18,PYPL,74.6,78.63,74.6,77.27,3.41,4.62%,5814280
4/2/18,PYPL,75.23,77.82,72.52,73.86,-2.01,-2.65%,9345800
3/26/18,PYPL,77.98,79.9,74.55,75.87,-0.57,-0.75%,10524350
3/19/18,PYPL,80.89,82.35,76.35,76.44,-5.72,-6.96%,8470260
3/12/18,PYPL,80.75,83.99,79.27,82.16,1.45,1.80%,9101960
3/5/18,PYPL,78.07,80.85,77.09,80.71,1.84,2.33%,6844660
2/26/18,PYPL,80,82.17,76.93,78.87,-0.82,-1.03%,8932300
2/19/18,PYPL,77.7,79.7,76.465,79.69,1.32,1.68%,7322100
2/12/18,PYPL,75.49,78.75,74.13,78.37,3.62,4.84%,9237680
2/5/18,PYPL,75.95,78.98,71.63,74.75,-1.82,-2.38%,15708560
1/29/18,PYPL,85.2,86.32,76.28,76.57,-8.88,-10.39%,19507220
1/22/18,PYPL,84,85.49,82.71,85.45,1.61,1.92%,8228200
1/15/18,PYPL,80.95,84.19,79.94,83.84,3.3,4.10%,8230500
1/8/18,PYPL,78.7,80.77,77.7,80.54,1.84,2.34%,7398180
1/1/18,PYPL,74.24,78.93,73.43,78.7,5.08,6.90%,9428500
12/25/17,PYPL,73.29,75,72.63,73.62,-0.27,-0.37%,4421775
12/18/17,PYPL,76.3,76.35,72.9,73.89,-1.76,-2.33%,6178820
12/11/17,PYPL,72.96,75.87,72.56,75.65,2.74,3.76%,8051000
12/4/17,PYPL,75.59,75.74,68.61,72.91,-2.39,-3.17%,13707420
11/27/17,PYPL,78.63,79.385,71.67,75.3,-3.27,-4.16%,14014840
11/20/17,PYPL,76.6,78.9,75.88,78.57,2.19,2.87%,7456200
11/13/17,PYPL,73.61,78.01,73.185,76.38,2.39,3.23%,8688940
11/6/17,PYPL,73.72,75.45,72.41,73.99,0.6,0.82%,7873120
10/30/17,PYPL,71.45,73.41,70.53,73.39,2.33,3.28%,6537740
10/23/17,PYPL,71.02,72.07,69.55,71.06,0.09,0.13%,10908020
10/16/17,PYPL,69.04,71.73,66.16,70.97,2.31,3.36%,15466240
10/9/17,PYPL,66.2,69.61,65.79,68.66,2.61,3.95%,8176820
