Time,Symbol,Open,High,Low,Last,Change,%Chg,Volume
12/2/19,VMW,155.51,155.75,146.36,147.08,-8.54,-5.49%,1875420
11/25/19,VMW,167,172.34,155.5,155.62,-10.24,-6.17%,2445200
11/18/19,VMW,168,173.37,163.37,165.86,-2.51,-1.49%,1021140
11/11/19,VMW,164.11,169.33,163.5083,168.37,3.42,2.07%,807880
11/4/19,VMW,163.7,166.36,161.33,164.95,1.89,1.16%,659460
10/28/19,VMW,160.13,163.1,156.44,163.06,3.87,2.43%,741720
10/21/19,VMW,153.13,160.23,151.82,159.19,7.05,4.63%,708600
10/14/19,VMW,154.89,156.4,150.2,152.14,-2.81,-1.81%,1064280
10/7/19,VMW,152.18,157.67,148.46,154.95,1,0.65%,1121120
9/30/19,VMW,146.38,156.73,146.05,153.95,8.07,5.53%,1311680
9/23/19,VMW,150,153.74,144.19,145.88,-4.9,-3.25%,1151360
9/16/19,VMW,151,156.63,148.5,150.78,-0.33,-0.22%,1750700
9/9/19,VMW,148.1,156.3343,144.61,151.11,3.94,2.68%,1681940
9/2/19,VMW,140,149.68,139.21,147.17,5.73,4.05%,1867600
8/26/19,VMW,135.48,143.55,128.69,141.44,8.02,6.01%,2576820
8/19/19,VMW,147.24,151.48,133,133.42,-10.3,-7.17%,2865620
8/12/19,VMW,156.61,161.89,141.16,143.72,-13.78,-8.75%,2035480
8/5/19,VMW,157.2,159.5306,152.19,157.5,-5.18,-3.18%,1179460
7/29/19,VMW,178.75,179.67,161.72,162.68,-15.63,-8.77%,1264900
7/22/19,VMW,179.25,183.5,176.03,178.31,-1.19,-0.66%,932520
7/15/19,VMW,170.11,181.69,169.75,179.5,9.8,5.77%,1306880
7/8/19,VMW,167.71,170,161.5,169.7,0.52,0.31%,1605760
7/1/19,VMW,170.64,172.99,166.2,169.18,1.97,1.18%,1283200
6/24/19,VMW,174.18,177.18,166.16,167.21,-6.18,-3.56%,1218620
6/17/19,VMW,167.9,178.77,166.77,173.39,5.1,3.03%,1387320
6/10/19,VMW,171,177.37,168.03,168.29,-0.94,-0.56%,1145340
6/3/19,VMW,175.49,178.61,166.33,169.23,-7.75,-4.38%,1779720
5/27/19,VMW,198.78,201.57,176.51,176.98,-21.01,-10.61%,1922000
5/20/19,VMW,201.07,205.44,196.22,197.99,-5.65,-2.77%,874000
5/13/19,VMW,196.59,206.799,191.37,203.64,3.57,1.78%,956120
5/6/19,VMW,197.85,203.24,192.91,200.07,-3.21,-1.58%,978880
4/29/19,VMW,199.85,205.44,197.54,203.28,3.57,1.79%,761620
4/22/19,VMW,187.5,203.35,187.035,199.71,11.62,6.18%,992680
4/15/19,VMW,192.68,194.24,186.36,188.09,-4.72,-2.45%,855825
4/8/19,VMW,185,193.6,183.57,192.81,7.02,3.78%,835560
4/1/19,VMW,182.62,187.51,179.01,185.79,5.28,2.93%,1183660
3/25/19,VMW,182.38,183.16,176.66,180.51,-3.19,-1.74%,1231220
3/18/19,VMW,181.71,188.51,180.81,183.7,2.14,1.18%,974820
3/11/19,VMW,169.54,182.48,169.25,181.56,12.43,7.35%,1397920
3/4/19,VMW,177.5,178.04,165.43,169.13,-9.07,-5.09%,1571680
2/25/19,VMW,174.6,183.405,171.26,178.2,4.82,2.78%,2008360
2/18/19,VMW,169.45,173.45,167.81,173.38,3.7,2.18%,1204200
2/11/19,VMW,158.41,170.11,156.91,169.68,11.97,7.59%,1632360
2/4/19,VMW,151,158.46,150.775,157.71,7.2,4.78%,984220
1/28/19,VMW,147.9,151.95,144.46,150.51,1.08,0.72%,1064100
1/21/19,VMW,147.35,151.49,146.5,149.43,1.77,1.20%,1137700
1/14/19,VMW,145.3,147.69,141.38,147.66,0.96,0.65%,1652160
1/7/19,VMW,139.4,151.8,138.94,146.7,7.79,5.61%,1585480
12/31/18,VMW,133.52,139.69,129.33,138.91,-19.47,-12.29%,2183325
12/24/18,VMW,143.77,159.46,141.91,158.38,13.39,9.24%,1253700
12/17/18,VMW,157.75,160.075,143.86,144.99,-13.59,-8.57%,2097860
12/10/18,VMW,158.06,169.25,157.77,158.58,-0.63,-0.40%,1568540
12/3/18,VMW,168.47,168.89,153,159.21,-8.13,-4.86%,1997775
11/26/18,VMW,155.08,168.42,151.91,167.34,14.35,9.38%,2080160
11/19/18,VMW,155.91,156.48,147.18,152.99,-4.02,-2.56%,1364675
11/12/18,VMW,149.26,161.4,145.04,157.01,6.19,4.10%,1629800
11/5/18,VMW,142,151.66,139.03,150.82,9.47,6.70%,838380
