Time,Symbol,Open,High,Low,Last,Change,%Chg,Volume
9/11/17,JLL,121.28,123.45,118.73,120.7,0.44,0.37%,273500
9/4/17,JLL,122,122.62,118.9,120.26,-2.41,-1.96%,152800
8/28/17,JLL,120,123.26,119.35,122.67,3.27,2.74%,125520
8/21/17,JLL,116.93,121.16,116.48,119.4,2.45,2.09%,180360
8/14/17,JLL,121.97,125.33,115.71,116.95,-3.73,-3.09%,223800
8/7/17,JLL,124.89,125.48,119.52,120.68,-4.4,-3.52%,167760
7/31/17,JLL,127.14,132.65,123.96,125.08,-1.86,-1.47%,293900
7/24/17,JLL,130.71,134.76,125.39,126.94,-3.75,-2.87%,275160
7/17/17,JLL,127.1,130.72,123.835,130.69,3.58,2.82%,242160
7/10/17,JLL,126.23,127.93,124.91,127.11,0.92,0.73%,325920
7/3/17,JLL,125.46,127.7,122.72,126.19,1.19,0.95%,298750
6/26/17,JLL,119.09,125,118.11,125,6.48,5.47%,311380
6/19/17,JLL,120.42,120.75,117.21,118.52,-1.8,-1.50%,211700
6/12/17,JLL,120.02,120.94,118.41,120.32,-0.11,-0.09%,377600
6/5/17,JLL,117.3,120.87,114.54,120.43,3.16,2.69%,232220
5/29/17,JLL,113.89,118.77,112.91,117.27,2.75,2.40%,259925
5/22/17,JLL,112.74,115.44,111.66,114.52,2.42,2.16%,185900
5/15/17,JLL,115.44,115.87,110.15,112.1,-3.31,-2.87%,288780
5/8/17,JLL,125.03,125.03,114.8,115.41,-9.8,-7.83%,347000
5/1/17,JLL,115.42,126.8,113.4,125.21,10.35,9.01%,347460
4/24/17,JLL,113.1,116.59,110.37,114.86,3.05,2.73%,292320
4/17/17,JLL,105.42,112.32,105.13,111.81,6.5,6.17%,257860
4/10/17,JLL,107.03,107.66,104.15,105.31,0.18,0.17%,450200
4/3/17,JLL,111.25,111.98,101.83,105.13,-6.32,-5.67%,349500
3/27/17,JLL,107.71,111.81,104.29,111.45,2.38,2.18%,340480
3/20/17,JLL,110.71,111.4,106.17,109.07,-1.58,-1.43%,260580
3/13/17,JLL,115.22,115.26,110.51,110.65,-4.23,-3.68%,321820
3/6/17,JLL,115.65,117.33,113.76,114.88,-1.53,-1.31%,218920
2/27/17,JLL,113.52,118.58,113.48,116.41,2.48,2.18%,309400
2/20/17,JLL,116.28,117.76,113.47,113.93,-2.35,-2.02%,241400
2/13/17,JLL,108.93,117.09,107.51,116.28,7.83,7.22%,514240
2/6/17,JLL,105.9,111.07,103.57,108.45,2.19,2.06%,684700
1/30/17,JLL,101.9,106.45,99.52,106.26,3.37,3.28%,316080
1/23/17,JLL,99.68,104.79,97.6,102.89,3.14,3.15%,280640
1/16/17,JLL,106.37,107.18,98.74,99.75,-7.03,-6.58%,370575
1/9/17,JLL,106.6,108.98,104.65,106.78,0.05,0.05%,331820
1/2/17,JLL,102.53,107.67,101.89,106.73,5.69,5.63%,665625
